;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1989.0;1.0;1.0;0.0;0.0;;;15.0;1.0;2.0;0.0;1.0;1.0;;;;;;1.0;45.45;0.0;;0.0;;;;1.0;;;;9.09;9.09;0.0;;;;;;15.0;;1.0;;1.0;0.0;0.0;;1.0;;;;;;;1.0;;;;;;0.0;0.0;;;0.0;0.0;;;;;0.0;-0.0;1.0;2.0;;2.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;2.0;1.0;0.0;0.0;;;15.0;1.0;2.0;0.0;1.0;1.0;;-0.0;0.0;0.0;;1.0;46.67;1.0;;1.0;;;0.0;1.0;;;0.0;13.33;6.67;;;;;0.0;0.0;15.0;;1.0;;1.0;0.0;0.0;;1.0;;;;;;0.0;1.0;;0.0;;;;0.0;0.0;;;0.0;0.0;;;;;0.0;-0.0;2.0;2.0;;2.0;;;0.0;;;-0.0;;;;0.0;0.0;;;;;-0.0;;;;;0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;2.0;1.0;0.0;0.0;0.0;0.0;16.0;1.0;2.0;0.0;1.0;2.0;0.0;-0.0;-0.0;-0.0;-0.0;1.0;54.17;1.0;;1.0;;;0.0;2.0;;;0.0;16.67;16.67;-0.0;12.5;0.0;8.33;0.01;0.01;16.0;;0.0;;0.0;0.0;0.0;0.0;1.0;;0.0;0.0;;;;1.0;;0.0;;;;0.0;0.0;;;;0.0;;;;;0.0;-0.0;2.0;2.0;;2.0;;0.0;0.0;;;0.0;;;;1.0;-0.0;-1.0;;;0.0;;;;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;2.0;1.0;0.0;0.0;0.0;0.0;13.0;1.0;3.0;1.0;2.0;2.0;0.0;-0.0;0.0;0.0;-0.0;1.0;45.83;1.0;;1.0;;;0.0;2.0;;;0.0;16.67;4.17;0.0;8.33;0.0;4.17;0.01;0.01;13.0;;1.0;;1.0;0.0;0.0;0.0;2.0;;0.0;0.0;;;;2.0;;0.0;;;;0.0;1.0;;;0.0;1.0;;;;;0.0;-0.0;2.0;3.0;;3.0;;0.0;0.0;;;;;;;1.0;-0.0;-0.0;;;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;3.0;2.0;0.0;0.0;;0.0;13.0;1.0;3.0;0.0;1.0;2.0;0.0;-0.0;-0.0;-0.0;0.0;1.0;56.67;2.0;;1.0;;;0.0;3.0;;;0.0;10.0;6.67;;;;3.33;0.01;0.01;13.0;;1.0;;1.0;0.0;0.0;;2.0;;0.0;0.0;;;0.0;2.0;;0.0;;;;0.0;1.0;;0.0;0.0;1.0;;;;;1.0;-1.0;2.0;3.0;;3.0;;0.0;0.0;;;0.0;;;;1.0;-0.0;-0.0;;;;;;;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;4.0;2.0;1.0;0.0;0.0;0.0;13.0;2.0;4.0;1.0;2.0;2.0;1.0;-0.0;-0.0;-0.0;0.0;2.0;54.29;2.0;;1.0;;;0.0;3.0;;;0.0;14.29;8.57;;8.57;0.0;5.71;0.01;0.01;13.0;;1.0;;1.0;1.0;0.0;0.0;2.0;;0.0;0.0;;;-0.0;2.0;;0.0;;;;0.0;1.0;;;0.0;1.0;;;;;1.0;-1.0;2.0;4.0;;4.0;;0.0;0.0;;;0.0;;;;1.0;-0.0;-0.0;;;;-0.0;;;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;5.0;3.0;1.0;1.0;1.0;0.0;15.0;2.0;4.0;1.0;1.0;3.0;0.0;-0.0;-0.0;-0.0;0.0;2.0;55.56;2.0;;2.0;2.0;;0.0;4.0;;;0.0;17.78;15.56;-0.0;13.33;0.0;8.89;0.03;0.03;15.0;;1.0;;1.0;1.0;0.0;0.0;2.0;;0.0;0.0;;;;2.0;;0.0;;;;0.0;1.0;;;;1.0;;;;;1.0;-1.0;2.0;4.0;;4.0;;0.0;0.0;;;1.0;;-0.0;;1.0;-1.0;;;-0.0;0.0;;;;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;5.0;3.0;1.0;1.0;1.0;1.0;15.0;2.0;5.0;1.0;2.0;3.0;1.0;-1.0;1.0;1.0;-1.0;3.0;49.06;2.0;;1.0;1.0;;0.0;4.0;;;0.0;22.64;18.87;;18.87;0.0;11.32;0.04;0.04;15.0;;1.0;;1.0;1.0;0.0;0.0;3.0;;0.0;0.0;;;;3.0;;0.0;0.0;;;0.0;2.0;;;0.0;2.0;;;;;2.0;-1.0;2.0;5.0;;5.0;;1.0;0.0;;;0.0;;-0.0;;2.0;-0.0;-1.0;;;0.0;;;;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;6.0;3.0;2.0;1.0;1.0;1.0;15.0;2.0;6.0;2.0;2.0;4.0;1.0;-1.0;-0.0;-0.0;-0.0;3.0;48.33;2.0;;2.0;2.0;;0.0;5.0;;;0.0;25.0;18.33;0.0;20.0;1.0;11.67;0.05;0.05;15.0;;1.0;;1.0;1.0;1.0;0.0;4.0;;;;;;;4.0;;0.0;1.0;;;0.0;;;0.0;1.0;1.0;;;;;3.0;-1.0;3.0;6.0;;6.0;;1.0;0.0;;;-1.0;;-0.0;;1.0;1.0;-1.0;;;;;;;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;7.0;4.0;2.0;1.0;1.0;1.0;15.0;3.0;7.0;1.0;2.0;5.0;1.0;-1.0;-0.0;-0.0;0.0;3.0;51.47;2.0;;2.0;2.0;;0.0;6.0;;;0.0;25.0;19.12;;19.12;1.0;11.76;0.05;0.05;15.0;;1.0;;1.0;1.0;1.0;0.0;4.0;;;;;;0.0;4.0;;1.0;0.0;;;0.0;1.0;;0.0;;2.0;;;;;3.0;-2.0;3.0;7.0;;7.0;;1.0;0.0;0.0;;1.0;;-0.0;;2.0;-2.0;-1.0;;-0.0;0.0;;;;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
