;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;0.0;;-0.0;-0.0;;-0.0;4.0;0.0;6.0;0.0;1.0;5.0;-1.0;-0.0;1.0;;-1.0;;;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;-200.0;-400.0;;;;-400.0;-0.08;-0.08;4.0;;0.0;;0.0;0.0;;0.0;3.0;;;;;;2.0;6.0;;0.0;;;;0.0;1.0;;;-0.0;1.0;;;;;-4.0;;8.0;6.0;;6.0;;-0.0;0.0;;;;;;;;-0.0;-0.0;;;;;;1.0;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;0.0;;-1.0;-1.0;;-1.0;4.0;0.0;4.0;0.0;1.0;3.0;-0.0;0.0;0.0;-0.0;-0.0;;;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;-1800.0;-1600.0;-1.0;;;-2100.0;-0.32;-0.32;4.0;;0.0;;0.0;;;0.0;2.0;;;;;;2.0;4.0;;0.0;;;;;1.0;;;0.0;1.0;;;;;-5.0;;8.0;4.0;;4.0;;-1.0;0.0;;;-0.0;;;;;1.0;-0.0;;;;0.0;;0.0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;0.0;;-0.0;-0.0;;-0.0;5.0;;4.0;0.0;1.0;3.0;;-0.0;;;;;;0.0;;0.0;0.0;;0.0;0.0;;;0.0;-600.0;-400.0;-0.0;;;-700.0;-0.1;-0.1;5.0;;;;;;;;2.0;;;;;;2.0;4.0;;0.0;;;;0.0;1.0;;;-0.0;1.0;;;;;-6.0;;9.0;4.0;;4.0;;-0.0;0.0;;;0.0;;;;;0.0;;;;;-0.0;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;0.0;;-1.0;-0.0;;-1.0;5.0;0.0;3.0;0.0;1.0;2.0;0.0;-0.0;;0.0;0.0;;;0.0;;0.0;0.0;;0.0;0.0;0.0;;0.0;-53867594.35;-17441798.17;-1.0;;;-55924544.13;-0.16;-0.16;5.0;;0.0;;0.0;0.0;;0.0;2.0;;;;;;1.0;3.0;;0.0;;;;0.0;;;;1.0;1.0;;;;;-6.0;;8.0;3.0;-0.0;3.0;;-1.0;0.0;;;0.0;;;;0.0;1.0;-0.0;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;1.0;-1.0;;-2.0;5.0;0.0;1.0;0.0;1.0;0.0;0.0;-0.0;0.0;-0.0;-0.0;;;0.0;;0.0;;;;0.0;0.0;0.0;;inf;-inf;-2.0;;;-inf;-0.43;-0.43;5.0;;0.0;;0.0;0.0;;0.0;1.0;;;;;;0.0;1.0;;0.0;;;;0.0;;;;1.0;1.0;;;;;-8.0;;8.0;1.0;;1.0;;-2.0;;;;0.0;;;;0.0;2.0;-0.0;;;;-0.0;;;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;0.0;;-0.0;-0.0;;-0.0;6.0;0.0;1.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;-94919.29;-74565.48;-0.0;;;-94919.29;-0.02;-0.02;6.0;;0.0;;0.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;;0.0;;;;;;;;;;-9.0;0.0;9.0;1.0;-0.0;1.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;0.0;;0.0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;0.0;;-0.0;-0.0;;-0.0;7.0;2.0;3.0;0.0;0.0;2.0;-0.0;-0.0;2.0;2.0;-0.0;;;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;-5266.68;-3799.84;-0.0;;;-5369.21;-0.05;-0.05;7.0;;2.0;;2.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;;0.0;;;;;;;;;;-10.0;0.0;13.0;3.0;-0.0;3.0;;-0.0;0.0;;;0.0;;;;0.0;0.0;-0.0;;;;-0.0;;2.0;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;0.0;;-1.0;-0.0;-1.0;-1.0;11.0;2.0;2.0;0.0;0.0;2.0;-1.0;-0.0;0.0;-0.0;-1.0;;;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;-20353.26;-11949.89;-0.0;-20383.66;-0.0;-19402.48;-0.06;-0.06;10.0;;2.0;;2.0;0.0;;0.0;0.0;;;;;;0.0;1.0;;0.0;;;;0.0;;;;-0.0;-0.0;-0.0;;;;-12.0;0.0;14.0;2.0;0.0;2.0;;-1.0;0.0;;;-0.0;;;;;0.0;-0.0;;;;;;0.0;;;;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;-1.0;-2.0;-2.0;-2.0;11.0;3.0;3.0;0.0;1.0;3.0;-1.0;-0.0;2.0;1.0;-1.0;;;1.0;;1.0;1.0;;0.0;1.0;0.0;;0.0;-inf;-inf;-1.0;-inf;-0.0;-inf;-0.19;-0.19;11.0;;3.0;;3.0;0.0;;0.0;0.0;;;;;;0.0;1.0;;0.0;;;;0.0;;;;0.0;0.0;;;;;-15.0;0.0;18.0;3.0;-0.0;3.0;;-2.0;0.0;-0.0;;-0.0;;;;;1.0;-0.0;;-0.0;;0.0;;2.0;;;;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
