;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1986.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;2.0;1.0;-2.0;-1.0;-2.0;-2.0;1.0;;;;;;;;;;;1.0;47.37;2.0;;1.0;1.0;;2.0;3.0;;-0.0;;-100.0;-63.16;-0.0;-78.95;;-78.95;-1.07;-1.07;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;2.0;1.0;;;-0.0;-0.0;1.0;;;;;;0.0;-0.0;;;;1.0;52.63;1.0;;0.0;0.0;;1.0;2.0;;-0.0;1.0;;;;-15.79;;-15.79;-0.21;-0.21;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.0;1.0;;;-0.0;;;;;0.0;-0.0;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;2.0;1.0;;;-0.0;-0.0;2.0;1.0;4.0;1.0;2.0;2.0;0.0;2.0;-2.0;0.0;-0.0;1.0;46.67;1.0;;0.0;0.0;;0.0;2.0;;-0.0;0.0;;;;-13.33;;-13.33;-0.13;-0.13;2.0;;1.0;;1.0;0.0;;;3.0;;;;;;0.0;3.0;;;;;;1.0;2.0;;;-0.0;2.0;;;;2.0;-21.0;-27.0;49.0;4.0;0.0;4.0;;-0.0;0.0;;;;;;;;;-0.0;;;;2.0;;;;;-2.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;4.0;1.0;2.0;2.0;0.0;0.0;-1.0;-0.0;-0.0;1.0;47.06;1.0;;0.0;0.0;;0.0;2.0;;-0.0;0.0;17.65;11.76;-0.0;5.88;;5.88;0.07;0.07;2.0;;1.0;;1.0;0.0;;;3.0;;;;;;;3.0;;;;;;1.0;1.0;;;;1.0;;;;2.0;-21.0;-28.0;49.0;4.0;;4.0;;0.0;0.0;;;0.0;-0.0;;;0.0;-0.0;-1.0;;;;1.0;;;;;-1.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;2.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;4.0;1.0;1.0;2.0;1.0;-0.0;-0.0;0.0;0.0;1.0;50.0;1.0;;0.0;0.0;;0.0;2.0;;-0.0;0.0;30.0;15.0;-0.0;10.0;0.0;10.0;0.13;0.13;2.0;;1.0;;1.0;0.0;;;3.0;;;;;;-0.0;3.0;;;;;;1.0;0.0;;;;0.0;;;;2.0;-21.0;-28.0;49.0;4.0;;4.0;;0.0;0.0;;;;-0.0;;;0.0;0.0;-0.0;;;;;;;;;-0.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;2.0;1.0;0.0;-0.0;-0.0;-0.0;2.0;1.0;3.0;1.0;1.0;2.0;0.0;-0.0;-0.0;-0.0;;1.0;37.5;1.0;;0.0;0.0;;0.0;2.0;;-0.0;0.0;6.25;-6.25;-0.0;-12.5;;-12.5;-0.13;-0.13;2.0;;0.0;;0.0;0.0;;;2.0;;;;;;;2.0;;;;;;1.0;0.0;;;-0.0;0.0;;;;2.0;-21.0;-28.0;50.0;3.0;;3.0;;-0.0;0.0;;;-0.0;0.0;;;;0.0;-0.0;;;;0.0;;;;;-0.0;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;2.0;1.0;1.0;0.0;;;2.0;1.0;3.0;0.0;1.0;2.0;0.0;-0.0;-0.0;;0.0;1.0;47.06;1.0;;0.0;0.0;;0.0;2.0;;;0.0;29.41;11.76;-0.0;;;;-0.01;-0.01;2.0;;0.0;;0.0;0.0;;0.0;2.0;;;;;;-0.0;2.0;;;;;;0.0;0.0;;;;0.0;;;;2.0;-21.0;-29.0;50.0;3.0;;3.0;;;0.0;;;;;;;;0.0;-0.0;;;;0.0;;;;;-0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;1.0;0.0;0.0;-0.0;-0.0;-0.0;2.0;;;;;;0.0;-0.0;-0.0;0.0;0.0;1.0;33.33;1.0;;0.0;0.0;;0.0;1.0;;;0.0;8.33;-8.33;-0.0;-16.67;;-16.67;-0.12;-0.12;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.0;0.0;;;0.0;;;;0.0;-0.0;-0.0;;;;;;;;;-0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;1.0;1.0;1.0;;0.0;0.0;2.0;1.0;4.0;1.0;2.0;2.0;0.0;-1.0;1.0;-0.0;-2.0;1.0;35.71;0.0;;0.0;0.0;;0.0;1.0;;0.0;0.0;42.86;;;7.14;;7.14;0.06;0.06;2.0;;0.0;;0.0;1.0;;;3.0;;;;;;0.0;3.0;;;;;;1.0;1.0;;;;1.0;;;;2.0;-21.0;-29.0;50.0;4.0;;4.0;;0.0;0.0;;;-1.0;-0.0;;;-0.0;0.0;-2.0;;;;1.0;;;;;1.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
