;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1986.0;0.0;-1.0;-2.0;-3.0;;-3.0;0.0;0.0;0.0;0.0;0.0;-0.0;;;;;;1.0;-1300.0;2.0;;1.0;1.0;;1.0;3.0;;;1.0;-2400.0;-2800.0;;;;-2900.0;-375.0;-375.0;0.0;;0.0;;0.0;;;0.0;0.0;;;;;;;0.0;;;;;;0.0;;;;;;;;;;-6.0;-0.0;6.0;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;0.0;-1.0;-2.0;-2.0;;-2.0;0.0;1.0;1.0;0.0;0.0;0.0;;;;;;1.0;-800.0;1.0;;1.0;1.0;;;2.0;;;;-1700.0;-1600.0;-0.0;;;-1700.0;-200.0;-200.0;0.0;;0.0;;0.0;;;0.0;0.0;;;;;;0.0;0.0;;;;;;0.0;;;;0.0;0.0;;;;;-7.0;-0.0;8.0;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;0.0;;-1.0;-1.0;;-1.0;0.0;0.0;1.0;0.0;1.0;-0.0;;;;;;;;2.0;;1.0;1.0;;0.0;2.0;;;0.0;-1200.0;-1400.0;-0.0;;;-1300.0;-125.0;-125.0;0.0;;;;;;;0.0;0.0;;0.0;0.0;;;;0.0;;;0.0;;;0.0;;;;0.0;0.0;;;;;-9.0;-0.0;9.0;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;0.0;;-1.0;-1.0;;-1.0;0.0;0.0;1.0;1.0;1.0;;-1.0;-0.0;1.0;;-1.0;;;1.0;;1.0;1.0;;0.0;1.0;;;0.0;-1000.0;-900.0;-0.0;;;-1100.0;-100.0;-100.0;0.0;;;;;;;0.0;-0.0;;0.0;0.0;;;0.0;0.0;;0.0;;;;0.0;;;;;;;;;;-10.0;-0.0;;-9.0;10.0;1.0;;-1.0;0.0;;;-0.0;;;;-0.0;1.0;;;;;-0.0;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;0.0;;-1.0;-1.0;;-1.0;0.0;0.0;1.0;1.0;1.0;;-1.0;-0.0;1.0;;-1.0;;;1.0;;1.0;1.0;;;1.0;;;;-900.0;-600.0;-0.0;;;-900.0;-75.0;-75.0;0.0;;;;;;;0.0;-0.0;;0.0;0.0;;;0.0;0.0;;1.0;;;;;;;;;;;;;;-11.0;-0.0;;-10.0;11.0;1.0;;-1.0;;;;0.0;;;;-0.0;0.0;;;;;-0.0;;0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;0.0;;-1.0;-1.0;;-1.0;0.0;1.0;2.0;1.0;1.0;1.0;-1.0;-0.0;1.0;;-1.0;0.0;;1.0;;1.0;1.0;;;1.0;;;;-1200.0;-800.0;-0.0;;;-1200.0;-100.0;-100.0;0.0;;0.0;;0.0;1.0;;0.0;-0.0;;0.0;0.0;;;0.0;0.0;;0.0;;;;0.0;;;;0.0;0.0;;;;;-12.0;-0.0;13.0;2.0;;2.0;;-1.0;;;;1.0;;;;1.0;-1.0;;;;;-0.0;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;0.0;-0.0;-2.0;-1.0;;-2.0;0.0;13.0;14.0;0.0;1.0;13.0;-1.0;-10.0;15.0;;-1.0;1.0;-25.0;1.0;;1.0;1.0;;;2.0;;;;-425.0;-350.0;-0.0;;;-425.0;-100.0;-100.0;0.0;;3.0;;3.0;0.0;;10.0;-0.0;;0.0;0.0;;;0.0;0.0;;0.0;;;;0.0;;;;0.0;0.0;;;;;-13.0;-0.0;27.0;14.0;;14.0;;-2.0;;;;12.0;;;;13.0;-12.0;;;-15.0;5.0;-0.0;;15.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;1.0;-0.0;-2.0;-2.0;;-2.0;0.0;11.0;12.0;1.0;1.0;11.0;-2.0;1.0;;;-2.0;1.0;-30.0;2.0;;2.0;2.0;;0.0;3.0;;;0.0;-230.0;-210.0;-0.0;;;-240.0;-150.0;-150.0;0.0;;2.0;;2.0;1.0;;8.0;0.0;;0.0;0.0;;;;1.0;;0.0;;;;0.0;;;;0.0;0.0;;;;;-16.0;-0.0;27.0;12.0;;12.0;;-2.0;0.0;;;-3.0;;;;11.0;3.0;;;-6.0;8.0;-1.0;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;0.0;;-4.0;-5.0;;-4.0;0.0;6.0;8.0;1.0;1.0;7.0;-4.0;4.0;1.0;;-5.0;;;5.0;3.0;2.0;2.0;;0.0;5.0;;;0.0;-4200.0;-4600.0;0.0;;;-4400.0;-275.0;-275.0;0.0;;3.0;;3.0;0.0;;3.0;1.0;;0.0;0.0;;;0.0;2.0;;0.0;0.0;;;0.0;1.0;;;0.0;1.0;;;;;-20.0;-0.0;27.0;8.0;;8.0;;-4.0;0.0;;;-5.0;;;;6.0;5.0;-1.0;;-2.0;7.0;-0.0;;;;;1.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;0.0;;-4.0;-4.0;;-4.0;0.0;5.0;6.0;1.0;2.0;5.0;-4.0;2.0;2.0;;-4.0;;;4.0;2.0;2.0;2.0;;0.0;4.0;;;0.0;-3600.0;-3700.0;-0.0;;;-3900.0;-222.5;-222.5;0.0;;4.0;;4.0;0.0;;1.0;1.0;;0.0;0.0;;;1.0;2.0;;0.0;0.0;;;0.0;1.0;;;1.0;1.0;;;;;-24.0;-1.0;29.0;6.0;;6.0;;-4.0;0.0;;;-2.0;;;;4.0;2.0;-0.0;;-0.0;3.0;-0.0;;2.0;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
